STAR version=2.7.10a
STAR compilation time,server,dir=2022-09-23T14:14:35-0400 scs-build-rhel7.broadinstitute.org:/tmp/redhat_7_x86_64/star_2.7.10a-build/STAR-2.7.10a/source
STAR git: 
##### Command Line:
STAR --runThreadN 8 --runMode genomeGenerate --genomeDir hg38_STAR_index --genomeFastaFiles /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa --sjdbGTFfile /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf --sjdbOverhang 149
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    8     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     hg38_STAR_index     ~RE-DEFINED
genomeFastaFiles              /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  149     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 163  "KI270727.1" chrStart: 3127902208
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 164  "KI270728.1" chrStart: 3128426496
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 165  "KI270729.1" chrStart: 3130523648
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 166  "KI270730.1" chrStart: 3131047936
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 167  "KI270731.1" chrStart: 3131310080
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 168  "KI270732.1" chrStart: 3131572224
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 169  "KI270733.1" chrStart: 3131834368
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 170  "KI270734.1" chrStart: 3132096512
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 171  "KI270735.1" chrStart: 3132358656
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 172  "KI270736.1" chrStart: 3132620800
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 173  "KI270737.1" chrStart: 3132882944
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 174  "KI270738.1" chrStart: 3133145088
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 175  "KI270739.1" chrStart: 3133407232
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 176  "KI270740.1" chrStart: 3133669376
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 177  "KI270741.1" chrStart: 3133931520
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 178  "KI270742.1" chrStart: 3134193664
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 179  "KI270743.1" chrStart: 3134455808
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 180  "KI270744.1" chrStart: 3134717952
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 181  "KI270745.1" chrStart: 3134980096
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 182  "KI270746.1" chrStart: 3135242240
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 183  "KI270747.1" chrStart: 3135504384
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 184  "KI270748.1" chrStart: 3135766528
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 185  "KI270749.1" chrStart: 3136028672
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 186  "KI270750.1" chrStart: 3136290816
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 187  "KI270751.1" chrStart: 3136552960
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 188  "KI270752.1" chrStart: 3136815104
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 189  "KI270753.1" chrStart: 3137077248
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 190  "KI270754.1" chrStart: 3137339392
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 191  "KI270755.1" chrStart: 3137601536
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 192  "KI270756.1" chrStart: 3137863680
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 193  "KI270757.1" chrStart: 3138125824
Chromosome sequence lengths: 
chr1	248956422
chr2	242193529
chr3	198295559
chr4	190214555
chr5	181538259
chr6	170805979
chr7	159345973
chr8	145138636
chr9	138394717
chr10	133797422
chr11	135086622
chr12	133275309
chr13	114364328
chr14	107043718
chr15	101991189
chr16	90338345
chr17	83257441
chr18	80373285
chr19	58617616
chr20	64444167
chr21	46709983
chr22	50818468
chrX	156040895
chrY	57227415
chrM	16569
GL000008.2	209709
GL000009.2	201709
GL000194.1	191469
GL000195.1	182896
GL000205.2	185591
GL000208.1	92689
GL000213.1	164239
GL000214.1	137718
GL000216.2	176608
GL000218.1	161147
GL000219.1	179198
GL000220.1	161802
GL000221.1	155397
GL000224.1	179693
GL000225.1	211173
GL000226.1	15008
KI270302.1	2274
KI270303.1	1942
KI270304.1	2165
KI270305.1	1472
KI270310.1	1201
KI270311.1	12399
KI270312.1	998
KI270315.1	2276
KI270316.1	1444
KI270317.1	37690
KI270320.1	4416
KI270322.1	21476
KI270329.1	1040
KI270330.1	1652
KI270333.1	2699
KI270334.1	1368
KI270335.1	1048
KI270336.1	1026
KI270337.1	1121
KI270338.1	1428
KI270340.1	1428
KI270362.1	3530
KI270363.1	1803
KI270364.1	2855
KI270366.1	8320
KI270371.1	2805
KI270372.1	1650
KI270373.1	1451
KI270374.1	2656
KI270375.1	2378
KI270376.1	1136
KI270378.1	1048
KI270379.1	1045
KI270381.1	1930
KI270382.1	4215
KI270383.1	1750
KI270384.1	1658
KI270385.1	990
KI270386.1	1788
KI270387.1	1537
KI270388.1	1216
KI270389.1	1298
KI270390.1	2387
KI270391.1	1484
KI270392.1	971
KI270393.1	1308
KI270394.1	970
KI270395.1	1143
KI270396.1	1880
KI270411.1	2646
KI270412.1	1179
KI270414.1	2489
KI270417.1	2043
KI270418.1	2145
KI270419.1	1029
KI270420.1	2321
KI270422.1	1445
KI270423.1	981
KI270424.1	2140
KI270425.1	1884
KI270429.1	1361
KI270435.1	92983
KI270438.1	112505
KI270442.1	392061
KI270448.1	7992
KI270465.1	1774
KI270466.1	1233
KI270467.1	3920
KI270468.1	4055
KI270507.1	5353
KI270508.1	1951
KI270509.1	2318
KI270510.1	2415
KI270511.1	8127
KI270512.1	22689
KI270515.1	6361
KI270516.1	1300
KI270517.1	3253
KI270518.1	2186
KI270519.1	138126
KI270521.1	7642
KI270522.1	5674
KI270528.1	2983
KI270529.1	1899
KI270530.1	2168
KI270538.1	91309
KI270539.1	993
KI270544.1	1202
KI270548.1	1599
KI270579.1	31033
KI270580.1	1553
KI270581.1	7046
KI270582.1	6504
KI270583.1	1400
KI270584.1	4513
KI270587.1	2969
KI270588.1	6158
KI270589.1	44474
KI270590.1	4685
KI270591.1	5796
KI270593.1	3041
KI270706.1	175055
KI270707.1	32032
KI270708.1	127682
KI270709.1	66860
KI270710.1	40176
KI270711.1	42210
KI270712.1	176043
KI270713.1	40745
KI270714.1	41717
KI270715.1	161471
KI270716.1	153799
KI270717.1	40062
KI270718.1	38054
KI270719.1	176845
KI270720.1	39050
KI270721.1	100316
KI270722.1	194050
KI270723.1	38115
KI270724.1	39555
KI270725.1	172810
KI270726.1	43739
KI270727.1	448248
KI270728.1	1872759
KI270729.1	280839
KI270730.1	112551
KI270731.1	150754
KI270732.1	41543
KI270733.1	179772
KI270734.1	165050
KI270735.1	42811
KI270736.1	181920
KI270737.1	103838
KI270738.1	99375
KI270739.1	73985
KI270740.1	37240
KI270741.1	157432
KI270742.1	186739
KI270743.1	210658
KI270744.1	168472
KI270745.1	41891
KI270746.1	66486
KI270747.1	198735
KI270748.1	93321
KI270749.1	158759
KI270750.1	148850
KI270751.1	150742
KI270752.1	27745
KI270753.1	62944
KI270754.1	40191
KI270755.1	36723
KI270756.1	79590
KI270757.1	71251
Genome sequence total length = 3099750718
Genome size with padding = 3138387968
Mar 20 21:45:09 ..... processing annotations GTF
Processing pGe.sjdbGTFfile=/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf, found:
		385659 transcripts
		2155005 exons (non-collapsed)
		526926 collapsed junctions
Total junctions: 526926
Mar 20 21:45:34 ..... finished GTF processing

Estimated genome size with padding and SJs: total=genome+SJ=3437387968 = 3138387968 + 299000000
GstrandBit=32
Number of SA indices: 5897255510
Mar 20 21:45:50 ... starting to sort Suffix Array. This may take a long time...
Number of chunks: 27;   chunks size limit: 1854241784 bytes
Mar 20 21:46:09 ... sorting Suffix Array chunks and saving them to disk...
Writing 1625576352 bytes into hg38_STAR_index//SA_2 ; empty space on disk = 312312070144 bytes ... done
Writing 1791034696 bytes into hg38_STAR_index//SA_7 ; empty space on disk = 310686253056 bytes ... done
Writing 1802540216 bytes into hg38_STAR_index//SA_5 ; empty space on disk = 308895285248 bytes ... done
Writing 1842920360 bytes into hg38_STAR_index//SA_6 ; empty space on disk = 307092783104 bytes ... done
Writing 1695044400 bytes into hg38_STAR_index//SA_3 ; empty space on disk = 305600135168 bytes ... done
Writing 1817086728 bytes into hg38_STAR_index//SA_0 ; empty space on disk = 303554887680 bytes ... done
Writing 1641833696 bytes into hg38_STAR_index//SA_1 ; empty space on disk = 301737705472 bytes ... done
Writing 1732397648 bytes into hg38_STAR_index//SA_4 ; empty space on disk = 300095635456 bytes ... done
Writing 1739863496 bytes into hg38_STAR_index//SA_10 ; empty space on disk = 298363387904 bytes ... done
Writing 1817090664 bytes into hg38_STAR_index//SA_9 ; empty space on disk = 296623276032 bytes ... done
Writing 1610611616 bytes into hg38_STAR_index//SA_8 ; empty space on disk = 294806618112 bytes ... done
Writing 1834070088 bytes into hg38_STAR_index//SA_15 ; empty space on disk = 293196005376 bytes ... done
Writing 1778262496 bytes into hg38_STAR_index//SA_11 ; empty space on disk = 291361521664 bytes ... done
Writing 1749272088 bytes into hg38_STAR_index//SA_12 ; empty space on disk = 289583661056 bytes ... done
Writing 1731265392 bytes into hg38_STAR_index//SA_14 ; empty space on disk = 287834112000 bytes ... done
Writing 1667201488 bytes into hg38_STAR_index//SA_13 ; empty space on disk = 286102913024 bytes ... done
Writing 1831310032 bytes into hg38_STAR_index//SA_17 ; empty space on disk = 284435677184 bytes ... done
Writing 1817115672 bytes into hg38_STAR_index//SA_19 ; empty space on disk = 282604339200 bytes ... done
Writing 1817679360 bytes into hg38_STAR_index//SA_16 ; empty space on disk = 280787156992 bytes ... done
Writing 1704350256 bytes into hg38_STAR_index//SA_23 ; empty space on disk = 278969450496 bytes ... done
Writing 1701441448 bytes into hg38_STAR_index//SA_20 ; empty space on disk = 277264990208 bytes ... done
Writing 1704549168 bytes into hg38_STAR_index//SA_18 ; empty space on disk = 275563675648 bytes ... done
Writing 1778814456 bytes into hg38_STAR_index//SA_21 ; empty space on disk = 273859215360 bytes ... done
Writing 1758878384 bytes into hg38_STAR_index//SA_22 ; empty space on disk = 272080306176 bytes ... done
Writing 1826890544 bytes into hg38_STAR_index//SA_24 ; empty space on disk = 270321319936 bytes ... done
Writing 1543849472 bytes into hg38_STAR_index//SA_25 ; empty space on disk = 268834963456 bytes ... done
Writing 1817093864 bytes into hg38_STAR_index//SA_26 ; empty space on disk = 266950672384 bytes ... done
Mar 21 00:51:19 ... loading chunks from disk, packing SA...
Mar 21 00:53:19 ... finished generating suffix array
Mar 21 00:53:19 ... generating Suffix Array index
Mar 21 00:57:39 ... completed Suffix Array index
Mar 21 00:57:40   Finished preparing junctions
Mar 21 00:57:40 ..... inserting junctions into the genome indices
Mar 21 01:10:54   Finished SA search: number of new junctions=526900, old junctions=0
Mar 21 01:12:37   Finished sorting SA indicesL nInd=314032300
Genome size with junctions=3295931068  3138387968   157543100
GstrandBit1=32   GstrandBit=32
Mar 21 01:13:53   Finished inserting junction indices
Mar 21 01:14:46   Finished SAi
Mar 21 01:14:47 ..... finished inserting junctions into genome
Mar 21 01:14:47 ... writing Genome to disk ...
Writing 3295931068 bytes into hg38_STAR_index//Genome ; empty space on disk = 312282710016 bytes ... done
SA size in bytes: 25621562220
Mar 21 01:14:57 ... writing Suffix Array to disk ...
Writing 25621562220 bytes into hg38_STAR_index//SA ; empty space on disk = 308987035648 bytes ... done
Mar 21 01:17:20 ... writing SAindex to disk
Writing 8 bytes into hg38_STAR_index//SAindex ; empty space on disk = 283365081088 bytes ... done
Writing 120 bytes into hg38_STAR_index//SAindex ; empty space on disk = 283365081088 bytes ... done
Writing 1565873491 bytes into hg38_STAR_index//SAindex ; empty space on disk = 283365081088 bytes ... done
Mar 21 01:17:29 ..... finished successfully
DONE: Genome generation, EXITING
